                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 0.8534,                 1.2981,                 1.1461,                0.25306,                0.65341,                0.29499,                0.19111,                 1.4069,                 2.9248,                 1.9026,              0.0011634,              0.0011634,              0.0011634
                     16,                0.79362,                 1.1591,                 1.0652,                0.34112,                0.68167,                0.45792,                0.25922,                  1.503,                 3.1434,                 2.0396,              0.0011572,              0.0011572,              0.0011572
                     17,                0.82764,                 1.1394,                  1.082,                 0.3506,                0.61015,                0.31664,                0.18934,                 1.5523,                 3.1822,                   2.07,               0.001151,               0.001151,               0.001151
                     18,                0.81832,                 1.1309,                 1.0922,                0.48026,                0.52072,                 0.6709,                 0.4783,                 1.5276,                 2.5644,                 2.0564,              0.0011448,              0.0011448,              0.0011448
                     19,                0.83336,                 1.2108,                 1.0922,                0.66606,                0.67785,                0.61145,                0.39213,                 1.3525,                 2.3887,                 1.8673,              0.0011386,              0.0011386,              0.0011386
                     20,                0.79503,                 1.0451,                 1.0768,                0.77737,                 0.6187,                0.71911,                0.51502,                 1.1453,                 2.3112,                 1.6752,              0.0011324,              0.0011324,              0.0011324
                     21,                0.77491,                 1.0498,                  1.074,                0.76202,                0.55991,                0.73284,                0.55492,                 1.1358,                 2.5885,                 1.6421,              0.0011263,              0.0011263,              0.0011263
                     22,                0.75957,                0.97299,                  1.043,                 0.7192,                0.57277,                0.56976,                0.38568,                 1.1778,                 2.6549,                 1.7592,              0.0011201,              0.0011201,              0.0011201
                     23,                0.79576,                 1.0004,                 1.0634,                0.41948,                0.56038,                0.50028,                0.30492,                 1.2843,                 2.5291,                 1.7621,              0.0011139,              0.0011139,              0.0011139
                     24,                0.75662,                 1.0077,                 1.0599,                0.86611,                0.67898,                0.74822,                0.49086,                 1.4099,                 2.4435,                 1.8589,              0.0011077,              0.0011077,              0.0011077
                     25,                0.77972,                 1.0327,                 1.0935,                0.47862,                 0.6418,                0.53978,                0.32627,                 1.2777,                  2.316,                 1.7441,              0.0011015,              0.0011015,              0.0011015
                     26,                0.79602,                0.98998,                  1.062,                0.44782,                0.57308,                0.50749,                0.32837,                 1.2318,                 2.1974,                 1.6782,              0.0010953,              0.0010953,              0.0010953
                     27,                0.79759,                 0.9925,                 1.0867,                0.54988,                0.55966,                0.69519,                0.50925,                 1.2852,                 2.1713,                 1.7676,              0.0010891,              0.0010891,              0.0010891
                     28,                0.71289,                0.91709,                 1.0422,                0.41224,                0.68371,                0.53996,                0.41652,                 1.2712,                 2.0944,                 1.8224,              0.0010829,              0.0010829,              0.0010829
                     29,                0.70383,                0.85062,                  1.028,                0.41172,                0.71023,                0.44431,                0.31475,                 1.0788,                  2.183,                  1.608,              0.0010768,              0.0010768,              0.0010768
                     30,                0.74072,                0.89655,                 1.0539,                0.57908,                0.63888,                  0.468,                0.32601,                 1.0842,                 2.2924,                  1.526,              0.0010706,              0.0010706,              0.0010706
                     31,                0.79023,                 0.9229,                 1.0689,                0.60627,                0.74677,                0.54683,                0.34823,                 1.1432,                 2.0593,                  1.612,              0.0010644,              0.0010644,              0.0010644
                     32,                0.78001,                0.89897,                  1.047,                0.67256,                0.62752,                0.61051,                0.37082,                 1.2072,                 1.9655,                 1.7406,              0.0010582,              0.0010582,              0.0010582
                     33,                0.72488,                0.83041,                 1.0399,                0.71383,                 0.7179,                0.78666,                0.54006,                 1.2411,                 1.9631,                 1.7251,               0.001052,               0.001052,               0.001052
                     34,                 0.6909,                0.88901,                 1.0285,                0.59385,                0.60184,                0.49539,                0.31829,                 1.4467,                 2.2953,                 1.9469,              0.0010458,              0.0010458,              0.0010458
                     35,                 0.7161,                0.84391,                 1.0303,                0.40461,                0.70173,                0.53236,                0.32839,                 1.5071,                 2.2999,                 1.8485,              0.0010396,              0.0010396,              0.0010396
                     36,                0.70928,                0.80568,                 1.0201,                0.75651,                0.65686,                0.76242,                0.56093,                 1.3395,                 1.7886,                 1.8597,              0.0010334,              0.0010334,              0.0010334
                     37,                0.69997,                0.81367,                 1.0267,                0.42279,                0.67517,                0.54132,                0.33513,                 1.5213,                 2.1785,                 2.0142,              0.0010273,              0.0010273,              0.0010273
                     38,                0.73497,                0.89358,                 1.0351,                0.65104,                0.23958,                0.34693,                0.18612,                 1.5355,                 2.8779,                  2.017,              0.0010211,              0.0010211,              0.0010211
                     39,                0.68481,                0.77754,                 1.0186,                0.40933,                0.76159,                 0.4913,                0.32194,                 1.2419,                 1.9208,                 1.7633,              0.0010149,              0.0010149,              0.0010149
                     40,                0.71182,                0.79132,                 1.0245,                0.55468,                0.69883,                0.67211,                 0.5433,                  1.189,                 1.9977,                 1.6235,              0.0010087,              0.0010087,              0.0010087
                     41,                0.69955,                0.75997,                 1.0253,                0.70641,                0.53045,                0.63177,                0.51497,                 1.3777,                 2.5063,                 1.7265,              0.0010025,              0.0010025,              0.0010025
                     42,                0.68952,                 0.7614,                 1.0125,                 0.6135,                0.50594,                0.69001,                0.44482,                 1.5696,                 3.0294,                 2.0088,             0.00099631,             0.00099631,             0.00099631
                     43,                0.69656,                0.70686,                 1.0049,                0.68692,                0.45847,                0.74433,                0.51631,                 1.3505,                 2.5381,                 1.8438,             0.00099013,             0.00099013,             0.00099013
                     44,                0.69328,                0.75536,                 1.0223,                0.56586,                0.68272,                0.72078,                0.53572,                 1.1989,                 2.3377,                 1.6788,             0.00098394,             0.00098394,             0.00098394
                     45,                0.65028,                0.72144,                0.99413,                0.67535,                0.60075,                0.75508,                0.50302,                 1.3359,                 2.3129,                 1.8043,             0.00097775,             0.00097775,             0.00097775
                     46,                0.67715,                0.71615,                 1.0041,                0.59723,                0.61252,                0.75388,                0.54692,                  1.453,                 2.1103,                 1.9799,             0.00097156,             0.00097156,             0.00097156
                     47,                0.65892,                0.74186,                 1.0116,                0.58962,                0.68561,                0.72246,                0.56288,                 1.3173,                 1.9977,                 1.7679,             0.00096537,             0.00096537,             0.00096537
                     48,                0.70523,                0.71099,                0.99791,                0.58515,                0.67803,                 0.7508,                0.57419,                 1.2845,                 1.5671,                 1.7838,             0.00095919,             0.00095919,             0.00095919
                     49,                0.67889,                0.72934,                0.99538,                0.64708,                0.71293,                0.78083,                0.55855,                 1.3182,                 1.6958,                 1.8795,               0.000953,               0.000953,               0.000953
                     50,                0.66429,                0.70141,                 1.0195,                0.40809,                0.47597,                0.45503,                0.24483,                 1.2571,                 2.5325,                 1.7355,             0.00094681,             0.00094681,             0.00094681
                     51,                0.68645,                0.68968,                 1.0157,                0.74597,                0.53311,                0.62989,                0.49953,                 1.2807,                 2.2784,                 1.7119,             0.00094062,             0.00094062,             0.00094062
                     52,                0.63661,                0.66211,                 1.0017,                0.45032,                0.67519,                0.50943,                0.39357,                  1.254,                 2.2564,                 1.7116,             0.00093444,             0.00093444,             0.00093444
                     53,                0.68679,                0.65327,                  1.004,                0.55288,                0.53898,                0.40729,                0.28838,                 1.2519,                 2.5691,                 1.6748,             0.00092825,             0.00092825,             0.00092825
                     54,                0.72352,                0.69118,                 1.0092,                0.39471,                0.60076,                0.37973,                0.27154,                 1.2547,                 2.6497,                 1.6214,             0.00092206,             0.00092206,             0.00092206
                     55,                0.66426,                0.68574,                  1.014,                0.62751,                0.54088,                0.61238,                0.46089,                 1.4306,                 2.6191,                 1.7515,             0.00091588,             0.00091588,             0.00091588
                     56,                0.63258,                0.64005,                0.98699,                0.57323,                0.57742,                0.67761,                0.54085,                 1.3189,                  2.072,                 1.7576,             0.00090969,             0.00090969,             0.00090969
                     57,                0.65568,                0.64512,                0.99377,                0.74717,                0.73674,                0.70684,                0.53735,                 1.2405,                 1.8559,                 1.7153,              0.0009035,              0.0009035,              0.0009035
                     58,                0.65911,                 0.6363,                0.98946,                0.67712,                0.78211,                0.77898,                0.56628,                  1.269,                 1.6553,                 1.7369,             0.00089731,             0.00089731,             0.00089731
                     59,                0.64243,                0.62327,                0.99786,                0.62008,                0.78631,                0.79384,                0.56135,                  1.342,                 1.8342,                  1.807,             0.00089112,             0.00089112,             0.00089112
                     60,                0.67515,                0.62481,                  1.004,                0.77546,                0.65552,                0.79005,                0.58022,                 1.2076,                 1.7057,                 1.6369,             0.00088494,             0.00088494,             0.00088494
                     61,                0.66145,                 0.6258,                0.98593,                0.62887,                0.81976,                0.80292,                0.57791,                  1.208,                 1.5926,                 1.6444,             0.00087875,             0.00087875,             0.00087875
                     62,                0.66706,                0.64819,                 1.0224,                0.62665,                0.80398,                0.80284,                0.61501,                 1.1428,                 1.7521,                 1.6033,             0.00087256,             0.00087256,             0.00087256
                     63,                0.62162,                0.61394,                0.99473,                 0.5716,                0.72253,                0.75319,                0.55728,                 1.2754,                 2.0682,                 1.6878,             0.00086637,             0.00086637,             0.00086637
                     64,                0.67076,                0.64013,                  1.008,                0.56475,                0.70104,                0.59439,                0.41733,                 1.2241,                 1.9029,                 1.7261,             0.00086019,             0.00086019,             0.00086019
                     65,                0.62196,                0.58915,                0.99211,                0.60628,                0.58861,                0.58519,                0.40939,                 1.2318,                 1.9231,                 1.7251,               0.000854,               0.000854,               0.000854
                     66,                0.60979,                0.57234,                 0.9839,                0.45438,                0.69329,                0.51723,                0.35863,                 1.2832,                 2.0567,                 1.7666,             0.00084781,             0.00084781,             0.00084781
                     67,                0.62374,                0.61018,                 1.0088,                0.52487,                 0.5847,                0.53007,                0.36675,                 1.2088,                 2.3948,                 1.6989,             0.00084162,             0.00084162,             0.00084162
                     68,                0.64956,                0.60662,                0.99465,                0.44932,                0.72702,                0.52116,                0.33519,                 1.3081,                 2.4964,                 1.7615,             0.00083544,             0.00083544,             0.00083544
                     69,                 0.5985,                0.54665,                0.97371,                0.54075,                0.79232,                0.59263,                0.43816,                 1.0728,                 2.0382,                 1.5707,             0.00082925,             0.00082925,             0.00082925
                     70,                0.62098,                0.58619,                0.97959,                0.54259,                0.70873,                 0.5048,                0.39196,                  1.047,                 2.3278,                 1.5347,             0.00082306,             0.00082306,             0.00082306
                     71,                0.64424,                 0.6219,                  1.014,                0.45758,                0.51434,                0.50661,                0.35575,                 1.1898,                 2.3889,                 1.5369,             0.00081688,             0.00081688,             0.00081688
                     72,                0.60676,                0.63747,                0.99646,                0.47236,                0.57305,                0.55758,                0.34778,                 1.2493,                 2.1246,                 1.6413,             0.00081069,             0.00081069,             0.00081069
                     73,                0.60745,                0.57575,                0.98136,                0.46198,                0.74819,                0.56584,                0.35658,                 1.1938,                 2.1555,                  1.662,              0.0008045,              0.0008045,              0.0008045
                     74,                0.60938,                0.58011,                0.98779,                0.50607,                0.74756,                 0.5616,                 0.3563,                 1.2357,                 2.1183,                 1.7456,             0.00079831,             0.00079831,             0.00079831
                     75,                0.62206,                0.55923,                0.98445,                0.45513,                0.79795,                0.62085,                0.37916,                 1.3354,                 2.0774,                 1.8107,             0.00079213,             0.00079213,             0.00079213
                     76,                0.61477,                0.55642,                0.99204,                0.53119,                0.78352,                0.78608,                0.53797,                 1.3329,                 2.0657,                 1.7796,             0.00078594,             0.00078594,             0.00078594
                     77,                0.60601,                0.57301,                0.98708,                0.61123,                0.76296,                0.69533,                0.44088,                 1.2432,                 2.1155,                 1.6783,             0.00077975,             0.00077975,             0.00077975
                     78,                 0.6519,                0.57371,                0.99365,                0.63092,                 0.7339,                 0.6131,                0.44297,                 1.2181,                 2.0238,                 1.6514,             0.00077356,             0.00077356,             0.00077356
                     79,                0.60138,                0.53784,                 0.9768,                0.61669,                0.79693,                0.65967,                0.50865,                 1.1063,                 1.8299,                 1.6082,             0.00076738,             0.00076738,             0.00076738
                     80,                0.61103,                0.54717,                0.98879,                0.70088,                0.74379,                0.74542,                0.58067,                 1.1697,                 1.8029,                 1.6932,             0.00076119,             0.00076119,             0.00076119
                     81,                0.58549,                0.50733,                0.96807,                0.85113,                0.63602,                0.75805,                0.59829,                 1.0648,                 1.8052,                 1.5857,               0.000755,               0.000755,               0.000755
                     82,                0.61451,                0.53678,                0.96864,                0.57257,                0.55292,                0.61826,                0.36921,                 1.0814,                 2.0801,                 1.5911,             0.00074881,             0.00074881,             0.00074881
                     83,                0.61173,                0.53949,                 0.9741,                0.63675,                 0.3933,                0.52133,                 0.3379,                 1.2386,                 2.4594,                 1.7663,             0.00074263,             0.00074263,             0.00074263
                     84,                 0.5674,                0.52578,                0.96663,                0.77469,                 0.5946,                0.68567,                0.52914,                 1.1744,                 2.4502,                 1.7139,             0.00073644,             0.00073644,             0.00073644
                     85,                0.60436,                0.51254,                0.96291,                0.75227,                0.66369,                0.67982,                0.53154,                 1.0824,                 2.3645,                 1.6166,             0.00073025,             0.00073025,             0.00073025
                     86,                0.62862,                0.53332,                0.99326,                0.80964,                0.62388,                0.70217,                0.53759,                   1.11,                 2.3335,                  1.679,             0.00072406,             0.00072406,             0.00072406
                     87,                0.62431,                0.53707,                0.98398,                0.82898,                0.61458,                0.74134,                0.55366,                 1.0395,                 2.1633,                 1.6156,             0.00071788,             0.00071788,             0.00071788
                     88,                0.56678,                0.49781,                0.96882,                0.62987,                 0.5947,                0.73705,                0.54479,                 1.2134,                 2.2434,                 1.7734,             0.00071169,             0.00071169,             0.00071169
                     89,                0.61126,                0.53209,                0.99198,                0.38761,                0.68046,                 0.7108,                0.54589,                 1.2832,                  2.485,                 1.8401,              0.0007055,              0.0007055,              0.0007055
                     90,                0.64446,                0.53105,                0.96783,                0.53522,                0.59984,                0.71778,                0.54711,                 1.1806,                 2.2661,                 1.7855,             0.00069931,             0.00069931,             0.00069931
                     91,                0.61605,                0.49739,                0.98925,                0.76951,                0.66341,                0.76522,                0.56857,                 1.2366,                 1.7532,                 1.8083,             0.00069313,             0.00069313,             0.00069313
                     92,                0.61102,                0.52133,                0.98114,                0.76153,                0.64676,                0.76129,                0.56773,                 1.2107,                 1.7807,                 1.7477,             0.00068694,             0.00068694,             0.00068694
                     93,                0.55337,                0.48545,                0.94006,                0.51633,                0.76098,                  0.757,                0.56405,                  1.225,                 1.9056,                 1.7809,             0.00068075,             0.00068075,             0.00068075
                     94,                 0.5586,                0.45522,                0.95255,                0.55092,                0.72692,                0.75164,                0.52923,                  1.159,                 2.1011,                 1.6777,             0.00067456,             0.00067456,             0.00067456
                     95,                 0.5631,                0.48282,                0.95997,                 0.5435,                0.70265,                0.74586,                0.52756,                 1.2549,                 2.0429,                 1.7156,             0.00066838,             0.00066838,             0.00066838
                     96,                0.58787,                0.50572,                0.97747,                0.72623,                0.77271,                0.82276,                0.54315,                 1.1864,                 1.8245,                 1.6465,             0.00066219,             0.00066219,             0.00066219
                     97,                0.57455,                0.48002,                0.96335,                0.73441,                0.79388,                0.82809,                 0.5688,                 1.3614,                  1.961,                 1.9339,               0.000656,               0.000656,               0.000656
                     98,                0.60201,                0.48989,                0.96197,                0.85945,                0.65957,                0.82778,                0.55347,                 1.4439,                 1.8411,                 1.9607,             0.00064981,             0.00064981,             0.00064981
                     99,                0.56543,                0.48714,                0.94487,                0.72475,                0.74813,                0.83847,                0.58052,                 1.2742,                 1.5989,                  1.794,             0.00064362,             0.00064362,             0.00064362
                    100,                0.57609,                0.49765,                0.97592,                0.52398,                0.69223,                0.76425,                0.53225,                 1.3627,                 1.6796,                 1.8975,             0.00063744,             0.00063744,             0.00063744
                    101,                0.58208,                0.47611,                0.96341,                0.76628,                0.60612,                0.80525,                0.54589,                 1.3351,                 1.7514,                 1.8558,             0.00063125,             0.00063125,             0.00063125
                    102,                0.53898,                0.45416,                0.94536,                0.75131,                0.61086,                0.69973,                0.44794,                 1.2645,                 1.6759,                 1.7787,             0.00062506,             0.00062506,             0.00062506
                    103,                0.56801,                0.47262,                0.97554,                0.62953,                0.78112,                0.69879,                0.52903,                 1.0989,                 1.5632,                 1.5785,             0.00061887,             0.00061887,             0.00061887
                    104,                0.55641,                0.46952,                0.93973,                0.74683,                0.79285,                 0.8295,                0.62661,                 1.0945,                 1.4863,                 1.6156,             0.00061269,             0.00061269,             0.00061269
                    105,                0.56138,                0.48314,                0.94292,                0.77882,                0.79178,                0.80954,                0.61198,                  1.095,                 1.5076,                 1.6378,              0.0006065,              0.0006065,              0.0006065
                    106,                0.56762,                0.46579,                 0.9615,                0.74885,                0.75033,                0.76541,                 0.5639,                 1.1398,                 1.5403,                 1.7208,             0.00060031,             0.00060031,             0.00060031
                    107,                0.55197,                0.45149,                0.94488,                0.65546,                0.68241,                0.70868,                0.55925,                  1.111,                 1.7764,                 1.7496,             0.00059413,             0.00059413,             0.00059413
                    108,                0.60038,                0.50424,                0.96101,                0.65214,                0.66951,                 0.6062,                0.43994,                  1.123,                 1.9478,                  1.761,             0.00058794,             0.00058794,             0.00058794
                    109,                0.55454,                0.48173,                0.96079,                0.54272,                0.53541,                0.57508,                0.36838,                 1.1133,                 1.9439,                 1.6671,             0.00058175,             0.00058175,             0.00058175
                    110,                0.56571,                0.49476,                0.95745,                0.53547,                0.77149,                0.63094,                0.37148,                 1.1958,                 1.7275,                 1.7772,             0.00057556,             0.00057556,             0.00057556
                    111,                0.57146,                0.48309,                0.96042,                0.58677,                0.79244,                0.65996,                0.46774,                 1.2313,                  1.679,                 1.8665,             0.00056938,             0.00056938,             0.00056938
                    112,                0.54678,                0.45218,                0.94996,                0.58056,                0.68968,                0.76029,                0.56797,                 1.2075,                 1.8926,                 1.8398,             0.00056319,             0.00056319,             0.00056319
                    113,                0.54346,                0.46562,                0.95422,                0.54434,                0.70853,                0.57137,                 0.3922,                   1.29,                 1.9716,                 1.9018,               0.000557,               0.000557,               0.000557
                    114,                0.53317,                0.44114,                0.95428,                0.56326,                0.75098,                0.79147,                0.56524,                 1.3046,                 1.9575,                 1.8863,             0.00055081,             0.00055081,             0.00055081
                    115,                0.54867,                0.43359,                0.94034,                0.55158,                0.76515,                0.77328,                0.56271,                 1.2659,                 1.9742,                 1.8075,             0.00054463,             0.00054463,             0.00054463
                    116,                0.55998,                0.47007,                0.97347,                0.56742,                 0.7116,                0.75857,                 0.5684,                 1.2221,                  1.872,                 1.7537,             0.00053844,             0.00053844,             0.00053844
                    117,                0.56373,                0.44054,                0.95051,                0.57011,                0.72651,                0.63988,                0.45483,                 1.1925,                 1.8659,                 1.7158,             0.00053225,             0.00053225,             0.00053225
                    118,                0.52735,                0.42887,                0.93894,                 0.5519,                0.81616,                0.76855,                0.58386,                 1.1509,                 1.6711,                 1.6959,             0.00052606,             0.00052606,             0.00052606
                    119,                0.52199,                0.45934,                0.94538,                0.69444,                0.78788,                0.77934,                0.59814,                  1.097,                 1.6165,                 1.6205,             0.00051988,             0.00051988,             0.00051988
                    120,                0.57952,                0.45759,                0.96752,                0.70995,                0.79482,                0.82071,                 0.6215,                 1.1534,                 1.5401,                 1.7023,             0.00051369,             0.00051369,             0.00051369
                    121,                0.58202,                0.45494,                0.95798,                0.70251,                0.80036,                0.84069,                0.62506,                 1.2123,                 1.5766,                 1.8139,              0.0005075,              0.0005075,              0.0005075
                    122,                0.54938,                0.44779,                0.95632,                0.65622,                0.79072,                 0.8363,                0.62063,                 1.2829,                 1.7317,                 1.8399,             0.00050131,             0.00050131,             0.00050131
                    123,                0.53034,                0.41614,                0.93608,                0.61906,                 0.7822,                0.82039,                0.62541,                 1.2441,                 1.8315,                 1.7659,             0.00049513,             0.00049513,             0.00049513
                    124,                0.52941,                0.41427,                0.93277,                0.66534,                0.73092,                0.72831,                0.51937,                 1.2377,                 1.7503,                  1.732,             0.00048894,             0.00048894,             0.00048894
                    125,                0.51579,                0.41536,                0.94795,                0.63575,                0.81777,                0.84576,                0.65532,                 1.1916,                 1.6974,                 1.6697,             0.00048275,             0.00048275,             0.00048275
                    126,                0.50405,                0.40395,                0.94619,                0.68415,                0.81849,                0.84767,                0.66329,                 1.0908,                 1.5456,                 1.5722,             0.00047656,             0.00047656,             0.00047656
                    127,                0.52448,                0.40958,                0.93026,                0.72075,                0.83333,                0.89688,                0.66735,                  1.111,                 1.4986,                 1.5976,             0.00047038,             0.00047038,             0.00047038
                    128,                0.51817,                0.41532,                0.95184,                0.69853,                 0.8673,                0.91191,                0.66755,                 1.1026,                 1.5057,                 1.6056,             0.00046419,             0.00046419,             0.00046419
                    129,                0.55744,                0.42286,                0.96234,                0.68484,                0.84163,                0.89598,                0.64245,                 1.1376,                 1.7383,                   1.57,               0.000458,               0.000458,               0.000458
                    130,                0.54655,                0.43643,                0.93912,                0.71762,                0.77141,                0.85993,                0.59228,                 1.1889,                 1.9541,                 1.6702,             0.00045181,             0.00045181,             0.00045181
                    131,                0.49723,                0.39642,                0.93835,                0.64883,                0.81051,                0.82702,                0.58339,                 1.2286,                 1.9143,                 1.7219,             0.00044563,             0.00044563,             0.00044563
                    132,                 0.5339,                 0.3956,                0.94693,                0.61079,                 0.7424,                0.77756,                0.57372,                 1.2151,                 1.7314,                 1.7699,             0.00043944,             0.00043944,             0.00043944
                    133,                0.50767,                0.39207,                0.93414,                0.60292,                0.78922,                0.76421,                0.56454,                 1.2078,                 1.6763,                 1.7915,             0.00043325,             0.00043325,             0.00043325
                    134,                0.51593,                0.38353,                0.93956,                0.65743,                 0.7893,                0.76592,                0.55404,                 1.2084,                  1.575,                 1.7976,             0.00042706,             0.00042706,             0.00042706
                    135,                0.55549,                0.41387,                0.94717,                0.76461,                0.67126,                0.79189,                0.58242,                 1.2426,                 1.5521,                 1.8378,             0.00042087,             0.00042087,             0.00042087
                    136,                0.51786,                0.39482,                0.93962,                0.54608,                0.83531,                0.66429,                0.46177,                 1.2051,                 1.6729,                 1.7265,             0.00041469,             0.00041469,             0.00041469
                    137,                0.49964,                0.40805,                0.92296,                0.53998,                0.81047,                0.61451,                0.42699,                 1.1542,                 1.6814,                 1.6532,              0.0004085,              0.0004085,              0.0004085
                    138,                0.52276,                0.40979,                0.95051,                0.52972,                0.76515,                0.67394,                0.48831,                 1.1263,                 1.6116,                 1.6599,             0.00040231,             0.00040231,             0.00040231
                    139,                 0.5195,                0.41386,                0.93448,                0.80826,                   0.75,                 0.7258,                0.49554,                 1.1373,                 1.8711,                 1.6746,             0.00039613,             0.00039613,             0.00039613
                    140,                 0.5337,                0.39201,                0.93366,                 0.4766,                    0.5,                0.62859,                0.40023,                 1.2146,                 2.0382,                 1.7423,             0.00038994,             0.00038994,             0.00038994
                    141,                0.49183,                 0.3832,                0.94301,                0.54827,                0.50864,                0.60069,                 0.3642,                 1.2464,                 2.0577,                 1.7636,             0.00038375,             0.00038375,             0.00038375
                    142,                0.52202,                0.39034,                0.92984,                0.53577,                0.54545,                0.60985,                0.34659,                 1.2108,                 2.0763,                 1.7312,             0.00037756,             0.00037756,             0.00037756
                    143,                0.49853,                0.37841,                0.92316,                0.54798,                0.80148,                0.60563,                0.40377,                 1.1584,                 1.8114,                  1.717,             0.00037138,             0.00037138,             0.00037138
                    144,                0.49406,                 0.3769,                0.92021,                0.65997,                0.78788,                0.69219,                0.48819,                 1.1592,                 1.6831,                 1.7119,             0.00036519,             0.00036519,             0.00036519
                    145,                0.51024,                0.37839,                0.92083,                0.73012,                0.77652,                0.82253,                0.62002,                 1.1432,                 1.6574,                 1.6974,               0.000359,               0.000359,               0.000359
                    146,                0.52006,                0.38309,                0.92739,                0.64208,                0.80448,                 0.8093,                0.60807,                 1.0978,                 1.6469,                 1.6783,             0.00035281,             0.00035281,             0.00035281
                    147,                 0.5081,                0.38192,                0.93698,                0.64756,                0.77688,                0.81465,                0.59837,                 1.1799,                 1.6515,                 1.7434,             0.00034663,             0.00034663,             0.00034663
                    148,                 0.5325,                0.41219,                0.92693,                0.59558,                0.82288,                 0.7975,                0.60271,                 1.1943,                 1.6823,                  1.711,             0.00034044,             0.00034044,             0.00034044
                    149,                0.50185,                0.38299,                0.92268,                0.67607,                0.72633,                0.78744,                0.59872,                 1.2052,                 1.7121,                 1.7102,             0.00033425,             0.00033425,             0.00033425
                    150,                0.50996,                0.39411,                0.93218,                 0.5605,                0.79387,                0.76611,                 0.5923,                 1.2086,                 1.7621,                 1.7353,             0.00032806,             0.00032806,             0.00032806
                    151,                0.50804,                0.37417,                0.94189,                0.52866,                0.69001,                0.60352,                0.44491,                 1.2568,                 1.8688,                 1.8477,             0.00032188,             0.00032188,             0.00032188
                    152,                0.47616,                0.37116,                0.92262,                0.47463,                0.76512,                0.55354,                0.39288,                 1.3164,                 1.9193,                  1.874,             0.00031569,             0.00031569,             0.00031569
                    153,                0.47642,                0.36193,                0.91656,                0.53496,                0.66369,                0.55285,                0.38432,                   1.28,                 1.8415,                 1.8439,              0.0003095,              0.0003095,              0.0003095
                    154,                0.51674,                0.38737,                0.94595,                0.49623,                0.79072,                0.60622,                0.42726,                 1.2678,                 1.7131,                 1.8449,             0.00030331,             0.00030331,             0.00030331
                    155,                0.45674,                0.37119,                0.92254,                0.64211,                0.76246,                 0.7656,                0.57111,                 1.2812,                 1.6781,                 1.8338,             0.00029713,             0.00029713,             0.00029713
