                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90184,                   3.33,                 1.1708,                0.00487,                0.86364,                0.46936,                0.41746,                0.66094,                 3.6304,                 1.1807,               0.000125,               0.000125,               0.000125
                      2,                0.84048,                 2.5741,                 1.1456,                0.00709,                0.96591,                0.35586,                0.22579,                0.81096,                 3.3128,                 1.1865,              0.0002612,              0.0002612,              0.0002612
                      3,                0.79495,                  1.986,                 1.1094,                0.85132,                0.14187,                0.38429,                0.26916,                0.78098,                 3.2522,                  1.266,             0.00039604,             0.00039604,             0.00039604
                      4,                0.82753,                 1.7187,                 1.1156,                0.49704,                0.32292,                0.32682,                0.23496,                 1.0658,                 3.2155,                 1.5248,             0.00052952,             0.00052952,             0.00052952
                      5,                0.79946,                 1.5774,                 1.1034,                0.95228,                0.13636,                0.29063,                0.15906,                 1.2911,                  3.323,                 1.9118,             0.00066164,             0.00066164,             0.00066164
                      6,                 0.8166,                  1.493,                 1.1184,                 0.6975,                0.45288,                0.35609,                 0.2022,                 1.4715,                 3.4092,                 2.0219,             0.00079239,             0.00079239,             0.00079239
                      7,                0.81793,                 1.3842,                  1.108,                0.34225,                0.23011,                0.31861,                 0.2134,                 1.5298,                 3.2716,                 2.1579,             0.00092178,             0.00092178,             0.00092178
                      8,                0.89928,                 1.4033,                 1.1355,                0.56485,                0.31309,                0.28391,                 0.1817,                 1.4615,                 3.5281,                 1.9558,              0.0010498,              0.0010498,              0.0010498
                      9,                0.82695,                 1.3287,                 1.0902,                0.65973,                 0.3456,                0.31213,                 0.1898,                 1.2974,                 3.3793,                 1.8638,              0.0011765,              0.0011765,              0.0011765
                     10,                0.87455,                 1.3751,                 1.1232,                0.23442,                0.48003,                0.38405,                0.24173,                 1.5194,                 3.2218,                 2.0715,              0.0011943,              0.0011943,              0.0011943
                     11,                0.92767,                 1.3877,                 1.1573,                0.40271,                0.52695,                0.34554,                 0.1823,                 1.5788,                 3.0742,                 2.1155,              0.0011881,              0.0011881,              0.0011881
                     12,                0.87866,                 1.3246,                 1.1357,                0.42023,                0.55134,                0.55306,                0.41703,                 1.6485,                 3.0105,                 2.2259,              0.0011819,              0.0011819,              0.0011819
                     13,                0.85444,                 1.3783,                 1.1261,                0.60492,                0.40253,                0.57764,                 0.4039,                 1.7108,                 2.8652,                 2.2329,              0.0011757,              0.0011757,              0.0011757
                     14,                 0.8417,                 1.2817,                 1.1094,                0.64323,                0.48001,                0.33115,                0.21447,                 1.3783,                 3.1427,                 1.8304,              0.0011696,              0.0011696,              0.0011696
