                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64829,                0.72086,                0.99619,                0.66333,                0.52148,                0.69003,                 0.5404,                  1.132,                 1.9845,                 1.6538,              0.0004085,              0.0004085,              0.0004085
                     36,                 0.6103,                0.71362,                0.98339,                0.68652,                0.61364,                  0.705,                0.55688,                 1.1642,                 1.9192,                  1.647,             0.00038375,             0.00038375,             0.00038375
                     37,                0.62723,                0.70425,                0.98939,                0.51086,                0.49097,                0.52311,                0.37097,                 1.1332,                 1.9473,                  1.587,               0.000359,               0.000359,               0.000359
                     38,                0.62234,                0.73146,                0.97477,                0.48515,                0.52178,                0.48209,                0.32519,                 1.1213,                 2.0305,                 1.5802,             0.00033425,             0.00033425,             0.00033425
                     39,                0.60931,                0.69509,                0.97664,                0.42474,                0.49715,                0.48464,                0.31509,                 1.1443,                 2.1214,                 1.6038,              0.0003095,              0.0003095,              0.0003095
                     40,                0.63085,                0.72014,                 0.9754,                0.40404,                0.51799,                0.50955,                0.34345,                 1.0923,                 2.0925,                 1.5898,             0.00028475,             0.00028475,             0.00028475
                     41,                0.54612,                0.86928,                0.95049,                0.52351,                0.45313,                 0.5257,                0.35393,                 1.1179,                 2.0824,                 1.6426,                0.00026,                0.00026,                0.00026
                     42,                0.56702,                0.79373,                0.97672,                0.46816,                0.51453,                0.50577,                0.33376,                 1.1551,                 2.2037,                 1.6279,             0.00023525,             0.00023525,             0.00023525
                     43,                0.55964,                0.82721,                0.95977,                0.45455,                0.52936,                0.53657,                0.35783,                 1.2177,                 2.1787,                 1.6851,              0.0002105,              0.0002105,              0.0002105
                     44,                0.53301,                0.75046,                0.93724,                0.64707,                0.76799,                0.77097,                0.58171,                 1.1212,                  1.971,                  1.625,             0.00018575,             0.00018575,             0.00018575
                     45,                0.50883,                0.75232,                0.96589,                0.65674,                0.76799,                 0.7751,                0.58345,                 1.1345,                 1.8672,                  1.709,               0.000161,               0.000161,               0.000161
                     46,                0.50842,                0.69171,                0.94127,                0.63057,                0.77319,                0.78507,                0.58193,                 1.1357,                 1.9119,                 1.6755,             0.00013625,             0.00013625,             0.00013625
                     47,                 0.4913,                0.64466,                 0.9213,                0.68014,                0.76799,                0.58318,                 0.4216,                 1.1739,                 1.9377,                 1.7065,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.5025,                0.70815,                 0.9181,                0.56653,                0.63293,                0.61165,                0.39804,                 1.1695,                 2.0029,                 1.7032,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.53112,                0.72617,                0.94152,                0.56444,                0.55966,                0.60795,                0.39239,                 1.1403,                 1.9849,                 1.6725,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.52172,                0.72467,                0.95604,                0.52327,                0.51799,                0.54286,                0.38794,                 1.0884,                 1.9613,                  1.634,              3.725e-05,              3.725e-05,              3.725e-05
